代碼,類型,貨號,名稱,已發佈,是特色商品？,目錄的可見度,簡短內容說明,描述,折扣價開始日期,折扣價結束日期,稅金狀態,稅率類別,有庫存？,庫存,低庫存量,允許無庫存下單嗎？,單獨銷售?,"重量 (公斤)","長 (公分)","寬 (公分)","高 (公分)",允許客戶評論嗎？,購買備註,特價,原價,分類,標籤,運送類別,圖片,下載限制,下載點過期天數,上層,組合商品,追加銷售,交叉銷售,外部網址,按鈕文字,位置,"屬性 1 名稱","屬性 1 值","屬性 1 可見","屬性 1 全域","屬性 2 名稱","屬性 2 值","屬性 2 可見","屬性 2 全域","Meta: model","Meta: caryear-start","Meta: caryear-end","Meta: size","Meta: dpi","Meta: oem-no","Meta: gasket-no","Meta: drain-plug","Meta: product-id-old","Meta: has_been_duplicated"
223878,simple,,FR-T121 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7077_img_1.jpg,,,,,,,,,0,VEHICLE,CENTURY,1,1,MANUFACTURER,FREIGHTLINER,1,1,,2007,2008,3-5/16X42-3/8(84.5X1076),,"3E0118600004,120430002,052662002,529617005,800068ST,CTAVTM83033,0527749002,0527749005,437248S,A0526615010,A0526615020,A0526615022,FR650C,1A0201190020",FR-T321,QP-3003,7077,
223879,simple,,"FR-T122,FR-T122Y - Copy",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7078_img_1.jpg,,,,,,,,,0,VEHICLE,CENTURY,1,1,MANUFACTURER,FREIGHTLINER,1,1,,2007,2008,3-5/16X42-3/8(84.5X1076),,"3E0118600004,120430002,052662002,529617005,800068ST,CTAVTM83033,0527749002,0527749005,437248S,A0526615010,A0526615020,A0526615022,FR650C,1A0201190020",FR-T321,QP-3053,7078,
223880,simple,,FR-T123 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7080_img_1.jpg,,,,,,,,,0,VEHICLE,M2,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,2-13/16X31-5/8(71.5X803),,,FR-T323,,7080,
223881,simple,,FR-T124 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7081_img_1.jpg,,,,,,,,,0,VEHICLE,FREIGHTLINER,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,3-1/16X27-7/16(77X697),,,,,7081,
223882,simple,,FR-T125 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7082_img_1.jpg,,,,,,,,,0,VEHICLE,CENTURY,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,3-5/16X39-1/4(84.5X997),,,FR-T317,QP-3006,7082,
223883,simple,,"FR-T126,FR-T126Y - Copy",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7083_img_1.jpg,,,,,,,,,0,VEHICLE,CENTURY,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,3-5/16X39-1/4(84.5X997),,,FR-T317,QP-3053,7083,
223884,simple,,"FR-T127,FR-T127Y - Copy",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7084_img_1.jpg,,,,,,,,,0,VEHICLE,CENTURY,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,3-5/16X42-3/8(84.5X1076),,,FR-T321,QP-3053,7084,
223885,simple,,FR-T128 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7085_img_1.jpg,,,,,,,,,0,VEHICLE,CENTURY,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,3-5/16X42-3/8(84.5X1076),,,FR-T321,,7085,
223886,simple,,FR-T129 - Copy,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7086_img_1.jpg,,,,,,,,,0,VEHICLE,M2,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,2-13/16X31-5/8(71.5X803),,,FR-T323,,7086,
223887,simple,,"FR-T130,FR-T130Y - Copy",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,TRUCK,,,http://localhost:9010/wp-content/uploads/old/en/product/7087_img_1.jpg,,,,,,,,,0,VEHICLE,M2,1,1,MANUFACTURER,FREIGHTLINER,1,1,,,,2-13/16X31-5/8(71.5X803),,,FR-T323,ME-3003,7087,
